ID,name,price,category,availability,discount,ratings,breadcrumbs,location,lat,long,guests,pets_allowed,house_rules,details,is_supperhost,host_number_of_reviews,host_rating,hosts_year,host_response_rate,is_guest_favorite
1,Villa in Kecamatan Kuta Utara ,null,Stays,TRUE,null,5,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.6332,115.1568,4,TRUE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""4 guests maximum""]","[""4 guests"",""2 bedrooms"",""2 baths""]",FALSE,5,5,5,100,FALSE
2,Villa in Umalas ,null,Stays,TRUE,null,5,"Umalas, Bali, Indonesia","Umalas, Bali, Indonesia",-8.6579,115.1523,6,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 12:00 PM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""3 baths""]",TRUE,1890,4.82,5,100,TRUE
3,Villa in Canggu ,null,Stays,TRUE,null,4.86,"Canggu, Bali, Indonesia","Canggu, Bali, Indonesia",-8.64707,115.13496,6,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 10:00 AM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""4 beds"",""3 baths""]",TRUE,397,4.85,9,96,FALSE
4,Rental unit in Tibubeneng ,null,Stays,TRUE,null,5,"Tibubeneng, Kuta Utara, Badung, Bali, Indonesia","Tibubeneng, Kuta Utara, Badung, Bali, Indonesia",-8.6686,115.1452,2,TRUE,"[""Check-in: 3:00 PM - 11:00 PM"",""Checkout before 11:00 AM"",""2 guests maximum""]","[""2 guests"",""Studio"",""1 bed"",""1 bath""]",TRUE,783,4.87,2,100,FALSE
5,Rental unit in Kuta Utara ,null,Stays,TRUE,null,4.85,"Kuta Utara, Bali, Indonesia","Kuta Utara, Bali, Indonesia",-8.65164,115.13685,2,FALSE,"[""Check-in after 1:00 PM"",""Checkout before 12:00 PM"",""2 guests maximum""]","[""1 queen bed"",""Dedicated bathroom""]",TRUE,502,4.89,7,100,TRUE
6,Villa in Kecamatan Kuta Utara ,null,Stays,TRUE,null,5,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.6497,115.1589,2,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1 bath""]",FALSE,14,4.93,2,100,FALSE
7,Villa in Kecamatan Kuta Utara,null,Stays,TRUE,null,4.88,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.61669,115.15674,2,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1.5 baths""]",TRUE,37,4.95,9,100,FALSE
8,Villa in Kecamatan Kuta Utara ,null,Stays,TRUE,null,5,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.64438,115.1393,6,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 12:00 PM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""3 baths""]",TRUE,128,4.79,2,100,FALSE
9,Home in Kecamatan Kuta Utara ,null,Stays,TRUE,null,5,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.646390538,115.1613937,4,FALSE,"[""Check-in: 5:00 pm"",""Checkout before 10:00 am"",""4 guests maximum""]","[""4 guests"",""2 bedrooms"",""2 beds"",""2 bathrooms""]",FALSE,330,4.59,6,100,TRUE
10,Home in Kecamatan Mengwi ,null,Stays,TRUE,null,5,"Kecamatan Mengwi, Bali, Indonesia","Kecamatan Mengwi, Bali, Indonesia",-8.6497,115.1231,4,TRUE,"[""Check-in after 3:00 PM"",""4 guests maximum"",""Pets allowed""]","[""4 guests"",""2 bedrooms"",""2 beds"",""2 baths""]",TRUE,48,4.79,7,100,FALSE
